cpuMark,threadMark,TDP,cores,testDate,Desktop,Laptop,Mobile/Embedded,Server,Unknown
24925,1925,155.0,32,2017,0,0,0,1,0
24800,2050,125.0,20,2020,0,0,0,1,0
24786,2248,205.0,16,2019,0,0,0,1,0
24749,3429,125.0,8,2020,1,0,0,0,0
24745,2578,53.0,14,2018,0,0,0,1,0
24619,1937,145.0,22,2016,0,0,0,1,0
24545,3281,65.0,8,2021,1,0,0,0,0
24489,2190,165.0,18,2017,0,0,0,1,0
24446,2450,165.0,12,2019,0,0,0,1,0
24390,3354,35.0,8,2022,0,1,0,0,0
24352,3442,28.0,8,2022,0,1,0,0,0
24234,2290,150.0,20,2019,0,0,0,1,0
24147,3420,125.0,8,2021,1,0,0,0,0
23908,3538,80.0,8,2021,1,0,0,1,0
23859,3375,45.0,8,2021,0,1,0,1,0
23815,2845,105.0,8,2020,1,0,0,0,0
23814,3528,65.0,8,2021,1,0,0,0,0
23768,3167,125.0,10,2020,1,0,0,0,0
23629,3312,45.0,8,2021,0,1,0,0,0
23589,2200,120.0,12,2021,0,0,0,1,0
23566,1821,155.0,16,2019,0,0,0,1,0
23556,2209,145.0,18,2015,0,0,0,1,0
23530,3678,45.0,4,2022,0,1,0,0,0
23515,3358,80.0,8,2021,0,0,0,1,0
23512,1951,200.0,20,2016,0,0,0,1,0
23508,3141,125.0,10,2020,1,0,0,0,0
23501,3323,95.0,8,2021,0,0,0,1,0
23447,3311,45.0,8,2022,0,1,0,0,0
23432,2493,165.0,12,2018,0,0,0,1,0
23425,3333,45.0,8,2021,0,1,0,0,0
23292,2467,140.0,12,2017,1,0,0,0,0
23275,2735,105.0,8,2019,1,0,0,0,0
23215,2481,140.0,14,2019,0,0,0,1,0
23207,2248,145.0,22,2016,0,0,0,1,0
23179,2048,165.0,28,2019,0,0,0,1,0
23160,3230,45.0,8,2021,0,1,0,0,0
23120,3619,28.0,4,2022,0,1,0,0,0
23117,3443,65.0,8,2021,1,0,0,0,0
23055,3091,125.0,10,2020,1,0,0,0,0
23026,2423,180.0,8,2020,0,0,0,1,0
22997,3204,125.0,10,2020,0,0,0,1,0
22903,2300,180.0,12,2017,1,0,0,0,0
22851,2220,125.0,20,2017,0,0,0,1,0
